2026-08-12 08:14:38 | user=lchen | ip=203.0.113.10 | event=login_failure | status=failure | location=New York,US
2026-08-12 08:17:09 | user=dgarcia | ip=192.0.2.88 | event=login_success | status=success | location=Sydney,AU
2026-08-12 08:18:02 | user=dgarcia | ip=192.0.2.88 | event=login_success | status=success | location=Sydney,AU
2026-08-12 08:21:50 | user=lchen | ip=203.0.113.10 | event=login_failure | status=failure | location=New York,US
2026-08-12 08:23:43 | user=kwilson | ip=198.51.100.23 | event=login_success | status=success | location=London,UK
2026-08-12 08:25:51 | user=dgarcia | ip=192.0.2.88 | event=login_success | status=success | location=Sydney,AU
2026-08-12 08:28:19 | user=lchen | ip=203.0.113.10 | event=login_success | status=success | location=New York,US
2026-08-12 08:30:00 | user=amartin | ip=198.51.100.77 | event=login_failure | status=failure | location=Berlin,DE
2026-08-12 08:34:00 | user=dgarcia | ip=192.0.2.88 | event=login_success | status=success | location=Sydney,AU
2026-08-12 08:37:12 | user=rpatel | ip=203.0.113.45 | event=login_success | status=success | location=Chicago,US
2026-08-12 08:39:54 | user=lchen | ip=203.0.113.10 | event=login_failure | status=failure | location=New York,US
2026-08-12 08:41:07 | user=dgarcia | ip=192.0.2.88 | event=login_success | status=success | location=Sydney,AU
2026-08-12 08:41:42 | user=kwilson | ip=198.51.100.23 | event=login_success | status=success | location=London,UK
2026-08-12 08:42:10 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:42:45 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:42:57 | user=tnguyen | ip=203.0.113.99 | event=login_success | status=success | location=Toronto,CA
2026-08-12 08:43:21 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:43:47 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:43:49 | user=kwilson | ip=198.51.100.23 | event=login_success | status=success | location=London,UK
2026-08-12 08:44:11 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:44:46 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:45:07 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:45:44 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:46:10 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:46:16 | user=jsmith | ip=203.0.113.10 | event=login_success | status=success | location=New York,US
2026-08-12 08:46:40 | user=rpatel | ip=45.155.205.13 | event=login_failure | status=failure | location=Unknown,XX
2026-08-12 08:49:55 | user=dgarcia | ip=192.0.2.88 | event=login_success | status=success | location=Sydney,AU
2026-08-12 08:53:12 | user=rpatel | ip=203.0.113.45 | event=login_success | status=success | location=Chicago,US
2026-08-12 08:54:51 | user=jsmith | ip=203.0.113.10 | event=login_success | status=success | location=New York,US
2026-08-12 08:56:39 | user=kwilson | ip=198.51.100.23 | event=login_success | status=success | location=London,UK
2026-08-12 08:57:37 | user=kwilson | ip=198.51.100.23 | event=login_success | status=success | location=London,UK
2026-08-12 08:59:53 | user=kwilson | ip=198.51.100.23 | event=login_success | status=success | location=London,UK
2026-08-12 09:01:48 | user=lchen | ip=203.0.113.10 | event=login_success | status=success | location=New York,US
2026-08-12 09:03:11 | user=amartin | ip=198.51.100.77 | event=login_success | status=success | location=Berlin,DE
2026-08-12 09:05:52 | user=tnguyen | ip=203.0.113.99 | event=login_success | status=success | location=Toronto,CA
2026-08-12 09:07:04 | user=lchen | ip=203.0.113.10 | event=login_success | status=success | location=New York,US
2026-08-12 09:11:47 | user=lchen | ip=203.0.113.10 | event=login_success | status=success | location=New York,US
2026-08-12 09:15:37 | user=lchen | ip=203.0.113.10 | event=login_success | status=success | location=New York,US
2026-08-12 09:17:48 | user=lchen | ip=192.0.2.15 | event=login_success | status=success | location=Tokyo,JP
2026-08-12 09:19:41 | user=kwilson | ip=198.51.100.23 | event=login_success | status=success | location=London,UK
2026-08-12 09:20:47 | user=lchen | ip=203.0.113.10 | event=login_success | status=success | location=New York,US
2026-08-12 09:21:10 | user=tnguyen | ip=203.0.113.99 | event=login_failure | status=failure | location=Toronto,CA
2026-08-12 09:22:50 | user=lchen | ip=203.0.113.10 | event=login_success | status=success | location=New York,US
2026-08-12 09:25:56 | user=rpatel | ip=203.0.113.45 | event=login_success | status=success | location=Chicago,US
